Anamnesis   	紀念（禱詞）
Anaphora   	感恩經
Anastatius II (496-498)    	亞納大修二世；（新教或其它譯名）阿塔那修二世（基）  
Ancient homily for Holy Saturday   	古代聖週六的講道詞
Angel   	天使；天神
Angelology   	天使論
Angelology   	天神論
Angels; demons   	天使；魔鬼
Anger; wrath   	憤怒
Anglican   	英國國教徒
Anglican   	安立甘教徒
Anglican Catholicism   	安立甘派天主教主義
Anglican Church   	安立甘教會
Anglican Church   	安立甘宗
Anglican Church   	英國國教
Anglican Communion   	英國國教會聯盟
Anglican Communion   	安立甘教會聯盟
Anglican orders   	安立甘祝聖禮
Anglican orders   	聖公會聖秩
Anglican; Episcopal; Episcopalian   	聖公會
Anglican; Episcopalian   	聖公會信徒
Anglican; Episcopalian   	聖公會的
Anglicanism   	聖公會高派主義
Anglicanism   	安立甘（教會）主義
Anglicanism   	英國國教教義
Anglicanism; Anglo-Catholicism   	英國國教高派教會主義
Anglo-Catholic Church   	英國國教高派教會
Anglo-Catholic Church   	安格魯大公教會
Anglo-Catholicism   	安立甘大公主義
Anglo-Catholicism   	安格魯大公教會教義
Anhomoians   	相異派
Animals   	動物
Animation   	賦予靈魂
Annihilation   	消滅
Annunciation   	天使報喜
Annunciation   	聖瑪利亞聞報
Annunciation; annunciation of the B.V.M.   	聖母領報
Anointing   	傅油
Anointing of the Sick, Sacrament of the   	病人傅油聖事
Anointing of the sick   	病人傅油
Anonymous Christians   	無名基督徒
Anonymous authors   	佚名作者
Anselm of Canterbury, St (ca.1033-1109)    	聖安瑟莫•坎特伯里；（新教或其它譯名）坎特伯雷的安瑟倫（基）  
Anthropocentric; homocentric   	以人為中心的
Anthropocentrism   	人為中心說
Anthropology, Christian   	基督徒人學
Anthropomorphism   	擬人
Antichrist   	反基督
Antichrist   	假基督
Antichrist   	反基督者
Antichrist   	基督之敵
Anticlericalism   	反教權主義
Antidicomarianites   	反瑪利亞派
Antioch, School of   	安提約基學派
Antiochian Christology   	安提約基雅派基督學
Antiphons   	對經
Antisemitism   	反閃族主義
Anxiety   	憂慮
Apocalypse; Revelation   	默示錄
Apocalypse; Revelation   	啟示錄
Apocalyptic   	默示
Apocalyptic Literature   	默示文學
Apocatastasis   	萬有復興
Apocrypha   	偽經
Apollinarianism   	阿波林主義
Apollinarianism   	亞波里拿留主義
Apollinarians   	亞波里拿留派
Apollinarians   	阿波林派
Apologetics   	護教學
Apologeticus   	護教者
Apologia   	護教書
Apologia pro vita sua   	自辯書
Apologiae   	護教書
Apostasy   	背教
Apostle   	宗徒
Apostle; disciple   	使徒
Apostles   	宗徒
Apostles’ Creed; Apostolic Creed   	宗徒信經；（新教或其它譯名）使徒信經  
Apostlic Fathers   	宗徒後期教父
Apostlic canons   	宗徒法典
Apostolate   	宗徒工作
Apostolic Church   	宗徒教會
Apostolic Church   	從宗徒傳下來的教會
Apostolic Constitution   	使徒憲典
Apostolic Father   	宗徒後期教父
Apostolic Fathers, The   	宗徒教父
Apostolic See; Holy See; papacy; pontiff; see   	宗座
Apostolic See; Holy See; see   	教廷
Apostolic Vicar   	宗座代牧
Apostolic Vicariate   	宗座代牧區
Apostolic succession   	宗徒繼承
Apostolicitas doctrinae   	宗徒的訓道
Apostolicitas originis   	源自宗徒
Apostolicitas successionis   	宗徒的繼承
Apostolicity   	宗徒性
Apotheosis; cult   	禮讚
Apparition; Epiphany   	顯現
Archbishop   	總主教
Argument by Prescription   	時效論證
Argument for the Existence of God   	有關天主存在的論證
Argument, Cosmological   	宇宙論證
Argument, Ontological   	存有論證
Argument, Teleological   	目的論證
Arianism   	阿利安學說
Arianism   	亞略主義；（新教或其它譯名）亞流主義  
Arianism   	亞利烏教
Arians   	亞略派
Aristides (second century)   	亞里斯提德(第二世紀)
Aristotelianism   	亞里斯多德主義
Armed forces; soldiers   	軍隊；軍人
Arminianism   	阿民念派
Arminianism   	亞米紐斯主義
Arms production   	武器生產
Arms trade   	武器交易
Art   	藝術
Article of Faith   	信條
Articles, Schmalkaldic   	施馬加登信條
Artificial insemination   	人工受精
Ascension   	升天
Ascension   	耶穌升天
Ascension of Christ   	基督升天
Ascension; elevation   	上升
Ascesis   	靈修功夫
Ascetic Theology   	克修神學
Asceticism   	克修
Asceticism; mortification   	苦修
Asceticism; mortification   	苦行生活
Assembly of God   	主的聚會所
Assembly of God; Pentecostal Church   	神召會
Assumption   	聖母升天
Assumption of Mary   	聖母升天
Assumption of the B.V.M.   	聖母升天
Astrology   	占星術
Athanasian Creed   	阿他那修信經；「任何人」信辭
Athanasian Creed   	亞大納削(修)信經；達修信經；（新教或其它譯名）亞他那修信經；亞他拿修信經；阿塔拿修信經  
Athanasius of Alexandria, St (295-373)   	亞大納修（聖）；（新教或其它譯名）阿塔那修斯（基）  
Atheism   	無神主義
Atheism   	無神論
Atonement   	補償
Attritionism   	不完善痛悔派
Audians   	歐迪派
Augsburg Confession   	奧格斯堡信條
Augsburg Confession   	奧斯堡信條
Augustine, St (354-430)   	奧思定（聖）；（新教或其它譯名）奧古斯丁（基）  
Augustinianism   	奧斯定主義；（新教或其它譯名）奧古斯丁主義  
Augustinianism   	奧斯定派
Authoritarianism   	權威主義
Authoritative grace   	主權恩寵
Authority   	權威（力）
Authority, Ecclesiastical   	教會權威
Autonomy of the Local Church   	地方教會的自主
Autopsy   	屍體解剖
Avarice   	貪婪（慳吝）
Ave Maria   	聖母頌
Ave Maria   	聖母經
Averroism   	阿威洛主義
Aversion   	厭惡
B.V.M.   	榮福童貞瑪利亞
Babel, Tower of   	巴貝耳塔；（新教或其它譯名）巴別塔（基）  
Baianism   	巴依烏斯派
Banezianism   	巴奈主義
Baptism   	聖洗；洗禮
Baptism of Desire   	願洗
Baptism of Jesus   	耶穌受洗
Baptism of infants   	嬰孩洗禮
Baptism, Sacrament of   	聖洗聖事
Baptism; immersion   	浸禮
Baptist   	浸信會教友
Baptist Church   	浸信會
Baptist Church   	浸禮會
Baptists   	浸禮派
Barnabas   	巴納博
Barnabas(second century)   	巴納博（第二世紀）
Baruch(Ba)   	巴路克（巴）；（新教或其它譯名）巴錄書  
Basil of Caesarea in Cappadocia, St   	巴西略•凱撒里；（新教或其它譯名）凱撒利亞的巴奚爾（基）  
Basil of Caesarea in Cappadocia, St(ca.339-379)   	聖巴西略‧凱撒里亞
Beatific   	榮福直觀（享見天主）
Beatific vision   	榮福直觀；（新教或其它譯名）屬天的福樂；真福直觀  
Beatification   	列入真福
Beatitude   	真福
Beatitudes   	真福（八端）
Beauty   	美
Beghards   	貝格派
Beghards   	伯格哈派
Beguines   	伯格音派
Beguines   	貝干諾派
Being   	存有
Belgic Confession   	比利時信條
Belief; faith   	信
Benedict XII (1334-1342)   	本篤十二世
Benedict, St (480-546)   	聖本篤
Benedictus Deus (29 January 1336) Constitution   	〈讚美天主〉憲章
Benevolence   	樂善好施
Bernard de Clairvaux, St   	伯納•克理弗（聖）；（新教或其它譯名）明谷的伯納德（基）  
Bernard de Clairvaux, St (1090-1153)   	聖伯納‧克理弗
Bible   	新舊約全書
Bible, Chinese   	中文聖經
Bible; Scripture; Holy Scripture   	聖經
Biblical Commission   	聖經委員會
Biblical criticism   	聖經批判學
Biblical science; exegesis; hermeneutics   	釋經學
Biblical spirituality   	聖經靈修
Biblical theology   	聖經神學
Biblicism   	經學主義
Biblicism   	聖經主義
Bioregion   	生界
Birth Control   	節育
Births, regulation of   	調節生育
Bishop   	主教
Bishop; Episcopate   	主教；主教職
Bishops Conference; Conference of Bishops   	主教團
Bishops, College of   	世界主教團
Blasphemy   	咒罵天主
Blasphemy; violation   	冒瀆；褻瀆
Blessed Virgin   	榮福童貞
Blessed Virgin   	有福貞女
Blessing   	祝福（降福、祝頌、頌謝）
Blessing   	祝福
Blessing of Water   	祝福洗禮用水
Blood of the Christ   	基督寶血
Boasting   	吹噓
Body   	身體
Body of Christ   	基督身體
Body, Mystical   	奧體
Bonaventure, St (ca.1217-1274)   	文德（聖）；（新教或其它譯名）波拿文圖拉（基）  
Book of Blessings   	祝福禮典
Broad   	廣教派
Broad Church   	教會廣派
Broad Church   	廣派教會
Buddhism   	佛家；佛學
Buddhism   	佛教
Byzantine Liturgy   	拜占廷禮
Byzantine Theology   	拜占廷神學
CDD (Congregatio Discipulorum Domini)   	主徒會
CELAM, Document of Puebla (1979)   	拉丁美洲主教團，《柏布拉文件》
CICM (Congregatio Immaculati Cordis Mariae)   	聖母聖心會
CM (Congregatio Mariae);Marianists   	聖母會
CM (Congregatio Missionis) ;Vincentians   	遣使會
CMF (Claretian Missionaries); Claretians   	聖母聖心愛子會
CP (Congregatio Passionis); Passionists   	苦難會
CSJB (Congregatio Sancti Ioannis Baptistae)   	耀漢小兄弟會
CSSR (Congregatio Sanctissimi Redemptoris); Redemp   	贖世主會
Caesaria the Younger, St(d.ca.559)    	凱撒里（聖女）
Caesarius of Arles, St   	凱撒里•亞爾（聖）
Cain   	加音；（新教或其它譯名）該隱（基）  
Call   	召喚；邀請
Calumny (slander)   	誣衊（誹謗）
Calvinism   	加爾文主義；（新教或其它譯名）喀爾文主義  
Calvinist Church   	加爾文教會
Calvinists   	加爾文派；（新教或其它譯名）喀爾文派  
Camino de perfeccion   	全德之路
Canon Law   	法典
Canon of Scripture   	聖經正典
Canon of the Apostles    	《宗徒準則》
Canonization   	列入聖品
Canonization   	冊封
Canticle   	聖歌
Canticle of the Creatures 344, 1014   	太陽歌
Capita practica ad Anatolium   	致亞那托的實踐篇章
Capitalism   	資本主義
Cardinal   	樞機
Casti connubii (31 December 1930) Encyclical   	〈聖潔婚姻〉通諭
Catecheses illuminandorum   	慕道期甄選者的教理講授
Catecheses mystagogicae   	釋奧期的教理講授
Catechesi tradendae (16 October 1979) Apostolic Ex   	〈論現時代的教理講授〉宗座勸諭
Catechesis   	教理講授
Catechetics   	教理講授學
Catechism   	教理書
Catechism of the Catholic Church   	《天主教教理》
Catechumen   	慕道者
Catechumenate   	慕道期
Catechumenate; catechumens   	慕道期；慕道者
Catechumens, oil of   	候洗者聖油
Cathari   	迦他利派
Cathari   	卡達里派
Catharists   	純潔派
Cathedra Petri   	伯多禄席位；伯多禄寶座；（新教或其它譯名）聖彼得座位  
Cathedra Petri   	伯鐸之講席
Catherine of Siena, St (1347-1380)   	加大利肋•西恩那（聖女）；（新教或其它譯名）希爾納的凱瑟琳（基）  
Catholic   	天主教的
Catholic   	「至公」
Catholic   	舊教徒
Catholic Action   	公教進行會
Catholic Apostolic Church   	大公使徒教會
Catholic Church   	天主教會
Catholic Church   	公教會
Catholic Church; Catholicism   	天主教
Catholic action   	公教進行會
Catholic church   	天主堂
Catholic ecumenism   	天主教大公主義
Catholic faith   	天主教的信仰
Catholic theology   	天主教神學
Catholic truths   	天主教的真理
Catholic; Latin rite   	天主教徒
Catholicism   	天主教主義
Catholicism   	天主教的思想與生活
Catholicity   	天主教教義或制度
Cause   	原因
Ceasarius of Arles, St(ca.474-542)   	聖凱撒里‧亞爾
Celibacy   	獨身
Centesimus annus (1 May 1991) Encyclical   	〈百年〉通諭
Centralization   	中央集權
Cerinthians   	色林都派
Certainty   	確實性
Certitude   	確切性
Chaos   	混沌
Character, Sacramental   	神印
Charism   	神恩
Charismatic Renewal   	聖神同禱會
Charisms   	神恩
Charity   	愛德
Charms (amulets)   	護身符
Chastity   	貞潔
Cherubic Hymn   	革魯賓的讚美詩
Children Parents; children; childrearing   	父母；子女；教養子女
Children; child-rearing   	子女；教養子女
Children’s baptism   	兒童洗禮
Chiliasm, Millenarianism   	千年說
Chinese Thought Form   	中國人的思想型態
Choir   	歌詠團
Chrism   	聖油
Chrismation   	傅油聖事
Christ   	基督
Christ   	基利斯督
Christ Jesus   	基督耶穌
Christ and Religion   	基督與其化宗教
Christ the King; kingship of Christ   	基督君王
Christ-figure   	基督形象
Christ; Messiah   	默西亞
Christ; the Anointed; Our Lord   	基督
Christendom   	基督宗教地區
Christendom   	基督宗教社會
Christendom   	基督宗教界
Christian   	基督的
Christian   	基督教的
Christian   	基督宗教信徒
Christian   	信基督的
Christian   	基督徒
Christian   	表現基督精神的
Christian Gnosticism   	基督化的諾斯底主義
Christian Gnosticism   	基督化的智識論
Christian Life   	基督徒生活
Christian Science   	基督教科學派
Christian Science   	基督教科學派的教義
Christian Science   	基督教科學派
Christian Unity   	基督徒合一
Christian value   	基督信仰中的價值
Christian; Protestant   	基督教徒
Christianity   	基督宗教
Christianity   	基督文化世界
Christianity   	基督教義；基督信仰
Christianity   	基督精神
Christianization   	基督化
Christianization   	皈依基督宗教
Christianization   	奉持基督信仰
Christianization   	基督教化
Christifideles laici (30 December 1988) Apostolic    	〈平信徒〉宗座勸諭
Christmas   	聖誕
Christmas; Nativity   	聖誕節
Christocentric   	以基督為中心的
Christocentrism   	以基督為中心的神學
Christocentrism   	以基督為中心的信仰
Christocentrism   	基督為中心說
Christogenesis   	基督演化
Christogenesis   	基督創生論
Christogenesis   	基督創生
Christological coinherence   	基督二性的互相滲透
Christological coinherence   	基督兩性的融合
Christological titel   	基督的尊稱
Christology   	基督論
Christonomy   	基督律
Church   	教會
Church Catholic   	天主教會
Church Protestant   	基督教
Church and Culture   	教會與文化
Church and State   	教會與國家
Church and World   	教會與世界
Church of England   	英國教會
Church of England   	英格蘭教會
Church of Jesus Christ of Latter Day Saints   	耶穌基督末世聖徒教會
