Pope Donus	教宗杜努，由公元676年至678年任第七十八任教宗
Pope St. Agatho	教宗聖佳德，由公元678年至681年任第七十九任教宗
Pope St. Leo II	教宗聖良二世，由公元682年至683年任第八十任教宗
Pope St. Benedict II	教宗聖本篤二世，由公元684年至685年任第八十一任教宗
Pope John V	教宗若望五世，由公元685年至686年任第八十二任教宗
Pope Conon	教宗郭諾，由公元686年至687年任第八十三任教宗
Pope Theodore	偽教宗德奧，公元687年任偽教宗
Pope Paschal	偽教宗賈利，公元687年任偽教宗
Pope St. Sergius I	教宗聖思齊一世，由公元687年至701年任第八十四任教宗
Pope John VI	教宗若望六世，由公元701年至705年任第八十五任教宗
Pope John VII	教宗若望七世，由公元705年至707年任第八十六任教宗
Pope Sisinnius	教宗希新，公元708年任第八十七任教宗
Pope Constantine	教宗剛定，由公元708年至715年任第八十八任教宗
Pope St. Gregory II	教宗聖國瑞二世，由公元715年至731年任第八十九任教宗
Pope St. Gregory III	教宗聖國瑞三世，由公元731年至741年任第九十任教宗
Pope St. Zacharias	教宗聖匝加，由公元741年至752年任第九十一任教宗
Pope Stephen II	教宗德範二世，由公元752 (在位僅四日)年任第九十二任教宗
Pope Stephen III	教宗德範三世，由公元752年至757年任第九十三任教宗
Pope St. Paul I	教宗聖保祿一世，由公元757年至767年任第九十四任教宗
Pope Constantine	偽教宗剛定，由公元767年至769年任偽教宗
Pope Philip	偽教宗斐理，公元768年任偽教宗
Pope Stephen IV	教宗德範四世，由公元768年至772年任第九十五任教宗
Pope Adrian I	教宗亞德一世，由公元772年至795年任第九十六任教宗
Pope St. Leo III	教宗聖良三世，由公元795年至816年任第九十七任教宗
Pope Stephen V	教宗德範五世，由公元816年至817年任第九十八任教宗
Pope Paschal I	教宗賈利一世，由公元817年至824年任第九十九任教宗
Pope Eugene II	教宗恩仁二世，由公元824年至827年任第一百任教宗
Pope Valentine	教宗范倫，公元827年任第一百零一任教宗
Pope Gregory IV	教宗國瑞四世，由公元827年至844年任第一百零二任教宗
Pope John	偽教宗若望，公元844年任偽教宗
Pope Sergius II	教宗思齊二世，由公元844年至847年任第一百零三任教宗
Pope St. Leo IV	教宗聖良四世，由公元847年至855年任第一百零四任教宗
Pope Benedict III	教宗本篤三世，由公元855年至858年任第一百零五任教宗
Pope Anastasius	偽教宗達西，公元855年任偽教宗
Pope St. Nicholas I (The Great) ()	教宗聖尼閣一世 (大)，由公元858年至867年任第一百零六任教宗
Pope Adrian II	教宗亞德二世，由公元867年至872年任第一百零七任教宗
Pope John VIII	教宗若望八世，由公元872年至882年任第一百零八任教宗
Pope Marinus I	教宗馬林一世，由公元882年至884年任第一百零九任教宗
Pope St. Adrian III	教宗聖亞德三世，由公元884年至885年任第一百一十任教宗
Pope Stephen VI	教宗德範六世，由公元885年至891年任第一百一十一任教宗
Pope Formosus	教宗褔慕，由公元891年至896年任第一百一十二任教宗
Pope Boniface VI	教宗博義六世，公元896年任第一百一十三任教宗
Pope Stephen VII	教宗德範七世，由公元896年至897年任第一百一十四任教宗
Pope Romanus	教宗羅基，公元897年任第一百一十五任教宗
Pope Theodore II	教宗德奧二世，公元897年任第一百一十六任教宗
Pope John IX	教宗若望九世，由公元898年至900年任第一百一十七任教宗
Pope Benedict IV	教宗本篤四世，由公元900年至903年任第一百一十八任教宗
Pope Leo V	教宗良五世，公元903年任第一百一十九任教宗
Pope Christopher	偽教宗思篤，由公元903年至904年任偽教宗
Pope Sergius III	教宗思齊三世，由公元904年至911年任第一百二十任教宗
Pope Anastasius III	教宗達西三世，由公元911年至913年任第一百二十一任教宗
Pope Lando	教宗蘭鐸，由公元913年至914年任第一百二十二任教宗
Pope John X	教宗若望十世，由公元914年至928年任第一百二十三任教宗
Pope Leo VI	教宗良六世，公元928年任第一百二十四任教宗
Pope Stephen VIII	教宗德範八世，由公元928年至931年任第一百二十五任教宗
